foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q44691153,William Thomas Rowland Powell,Q9626,Conservative Party (UK),1070,Q4345445,General election 1859,1
,,Arthur Henry Saunders Davies,Q622441,Liberal Party (UK),928,Q4345445,General election 1859,2
,Q7529192,Thomas Lloyd,Q622441,Liberal Party (UK),1510,Q2074533,General election 1865,1
,Q5232857,David Davies,Q622441,Liberal Party (UK),1149,Q2074533,General election 1865,2
,Q26208288,Evan Matthew Richards,Q622441,Liberal Party (UK),2074,Q2074525,General election 1868,1
,,Edmund Mallet Vaughan,Q9626,Conservative Party (UK),1918,Q2074525,General election 1868,2
,Q26239952,Thomas Edward Lloyd,Q9626,Conservative Party (UK),1850,Q918351,General election 1874,1
,Q26208288,Evan Matthew Richards,Q622441,Liberal Party (UK),1635,Q918351,General election 1874,2
,Q6536981,Lewis Pugh Pugh,Q622441,Liberal Party (UK),2406,Q2074515,General election 1880,1
,Q26239952,Thomas Edward Lloyd,Q9626,Conservative Party (UK),1605,Q2074515,General election 1880,2
,Q5232857,David Davies,Q622441,Liberal Party (UK),5967,Q3397257,General election 1885,1
,Q6791359,Matthew Vaughan-Davies,Q9626,Conservative Party (UK),3644,Q3397257,General election 1885,2
,Q14945676,William Bowen Rowlands,Q622441,Liberal Party (UK),4252,Q7888016,General election 1886,1
,Q5232857,David Davies,Q1754707,Liberal Unionist Party,4243,Q7888016,General election 1886,2
,Q14945676,William Bowen Rowlands,Q622441,Liberal Party (UK),5233,Q7888018,General election 1892,1
Q8013725,,William Jones,Q1754707,Liberal Unionist Party,3270,Q7888018,General election 1892,2
,Q6791359,Matthew Vaughan-Davies,Q622441,Liberal Party (UK),4927,Q7888019,General election 1895,1
,Q5657017,John Harford,Q9626,Conservative Party (UK),3748,Q7888019,General election 1895,2
,Q6791359,Matthew Vaughan-Davies,Q622441,Liberal Party (UK),4568,Q918358,General election 1900,1
,Q5657017,John Harford,Q9626,Conservative Party (UK),3787,Q918358,General election 1900,2
,Q6791359,Matthew Vaughan-Davies,Q622441,Liberal Party (UK),5829,Q3076606,General election 1906,1
,,C E D M Richardson,Q1754707,Liberal Unionist Party (UK),2960,Q3076606,General election 1906,2
,Q6791359,Matthew Vaughan-Davies,Q622441,Liberal Party (UK),6348,Q3075752,General election January 1910,1
,,George Fossett Roberts,Q9626,Conservative Party (UK),2943,Q3075752,General election January 1910,2
,Q5393040,Ernest Evans,Q5137907,Coalition Liberal,14111,Q5038515,1921 Cardiganshire by-election,1
,Q7945802,William Llewelyn Williams,Q622441,Liberal Party (UK),10521,Q5038515,1921 Cardiganshire by-election,2
,Q5393040,Ernest Evans,Q6974098,"National Liberal Party (UK, 1922)",12825,Q3084303,General election 1922,1
,Q7321789,Rhys Hopkin Morris,Q622441,Liberal Party (UK),12310,Q3084303,General election 1922,2
,Q7321789,Rhys Hopkin Morris,Q6016735,Independent Liberal,12469,Q3084294,General election 1923,1
,Q5393040,Ernest Evans,Q622441,Liberal Party (UK),7391,Q3084294,General election 1923,2
,Q5326314,Ernest Vaughan,Q9626,Unionist Party (UK),6776,Q3084294,General election 1923,3
,Q7321789,Rhys Hopkin Morris,Q622441,Liberal Party (UK),17127,Q517639,General election 1929,1
,,E C L Fitzwilliams,Q9626,Unionist Party (UK),11158,Q517639,General election 1929,2
,Q7321789,Rhys Hopkin Morris,Q622441,Liberal Party (UK),20113,Q918375,General election 1931,1
,,J Lloyd Jones,Q9630,Labour Party (UK),6361,Q918375,General election 1931,2
,Q7114471,Owen Evans,Q622441,Liberal Party (UK),13437,Q5038516,1932 Cardiganshire by-election,1
,,E C L Fitzwilliams,Q9626,Conservative Party (UK),8866,Q5038516,1932 Cardiganshire by-election,2
,,D M Jones,Q9630,Labour Party (UK),5295,Q5038516,1932 Cardiganshire by-election,3
,Q7114471,Owen Evans,Q622441,Liberal Party (UK),15846,Q918378,General election 1935,1
,Q6890179,Moelwyn Hughes,Q9630,Labour Party (UK),10085,Q918378,General election 1935,2
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),18912,Q918397,General election 1945,1
,,Iwan James Morgan,Q9630,Labour Party (UK),10718,Q918397,General election 1945,2
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),17093,Q748667,General election 1950,1
,,Iwan James Morgan,Q9630,Labour Party (UK),9055,Q748667,General election 1950,2
,,G S R Little,Q9626,Conservative Party (UK),6618,Q748667,General election 1950,3
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),19959,Q3722280,General election 1951,1
,,Brynmor Williams,Q9630,Labour Party (UK),9697,Q3722280,General election 1951,2
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),18907,Q918412,General election 1955,1
,,David Jones-Davies,Q9630,Labour Party (UK),10090,Q918412,General election 1955,2
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),17868,Q918420,General election 1959,1
,,Loti Rees Hughes,Q9630,Labour Party (UK),8559,Q918420,General election 1959,2
,,Gareth W. Evans,Q10691,Plaid Cymru,3880,Q918420,General election 1959,3
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),11500,Q220208,General election 1964,1
,,D L Davies,Q9630,Labour Party (UK),9281,Q220208,General election 1964,2
,,Arthur J. Ryder,Q9626,Conservative Party (UK),5897,Q220208,General election 1964,3
,,Gareth W. Evans,Q10691,Plaid Cymru,3262,Q220208,General election 1964,4
,Q333924,Elystan Morgan,Q9630,Labour Party (UK),11302,Q918430,General election 1966,1
,Q7356568,Roderic Bowen,Q622441,Liberal Party (UK),10779,Q918430,General election 1966,2
,Q13530049,John Stradling Thomas,Q9626,Conservative Party (UK),5893,Q918430,General election 1966,3
,Q16091540,Edward Millward,Q10691,Plaid Cymru,2469,Q918430,General election 1966,4
,Q333924,Elystan Morgan,Q9630,Labour Party (UK),11063,Q918442,General election 1970,1
,,Huw Lloyd Williams,Q622441,Liberal Party (UK),9800,Q918442,General election 1970,2
,,Hywel ap Robert,Q10691,Plaid Cymru,6498,Q918442,General election 1970,3
,,David George,Q9626,Conservative Party (UK),5715,Q918442,General election 1970,4
,Q1418483,Geraint Howells,Q622441,Liberal Party (UK),14371,Q119524,General election February 1974,1
,Q333924,Elystan Morgan,Q9630,Labour Party (UK),11895,Q119524,General election February 1974,2
,,Trefor W. Llewellyn,Q9626,Conservative Party (UK),4758,Q119524,General election February 1974,3
,,Clifford Gregory Davies,Q10691,Plaid Cymru,4754,Q119524,General election February 1974,4
,Q1418483,Geraint Howells,Q622441,Liberal Party (UK),14612,Q918508,General election October 1974,1
,Q333924,Elystan Morgan,Q9630,Labour Party (UK),12202,Q918508,General election October 1974,2
,,Clifford G. Davies,Q10691,Plaid Cymru,4583,Q918508,General election October 1974,3
,Q5254967,Delwyn Williams,Q9626,Conservative Party (UK),3257,Q918508,General election October 1974,4
,Q1418483,Geraint Howells,Q622441,Liberal Party (UK),13227,Q918450,General election 1979,1
,,I. Emlyn Thomas,Q9626,Conservative Party (UK),11033,Q918450,General election 1979,2
,,L John Powell,Q9630,Labour Party (UK),7488,Q918450,General election 1979,3
,,Dafydd J. L. Hughes,Q10691,Plaid Cymru,5382,Q918450,General election 1979,4
,Q3405113,Cynog Dafis,Q10691,Plaid Cymru,16728,Q918503,General election 1997,1
,,Robert (Hag) Harris,Q9630,Labour Party (UK),9767,Q918503,General election 1997,2
,,Dai Davies,Q9624,Liberal Democrats (UK),6616,Q918503,General election 1997,3
,,Felix Aubel,Q9626,Conservative Party (UK),5983,Q918503,General election 1997,4
,,John Leaney,Q278315,Referendum Party,1092,Q918503,General election 1997,5
,Q3405148,Simon Thomas,Q10691,Plaid Cymru,10716,Q5064134,2000 Ceredigion by-election,1
,Q266357,Mark Williams,Q9624,Liberal Democrats (UK),5768,Q5064134,2000 Ceredigion by-election,2
,Q7150146,Paul Davies,Q9626,Conservative Party (UK),4138,Q5064134,2000 Ceredigion by-election,3
,,Maria Battle,Q832685,Welsh Labour Party,3612,Q5064134,2000 Ceredigion by-election,4
,Q1380953,John Bufton,Q10647,United Kingdom Independence Party,487,Q5064134,2000 Ceredigion by-election,5
,,John Davies,,Independent Green – Save the World Climate,289,Q5064134,2000 Ceredigion by-election,6
,,Martin Shipton,Q98637331,Wales on Sunday – Match Funding Now,55,Q5064134,2000 Ceredigion by-election,7
,Q3405148,Simon Thomas,Q10691,Plaid Cymru,13241,Q590740,General election 2001,1
,Q266357,Mark Williams,Q9624,Liberal Democrats (UK),9297,Q590740,General election 2001,2
,Q7150146,Paul Davies,Q9626,Conservative Party (UK),6730,Q590740,General election 2001,3
,,David Grace,Q832685,Welsh Labour Party,5338,Q590740,General election 2001,4
,Q266357,Mark Williams,Q9624,Liberal Democrats (UK),13130,Q428598,General election 2005,1
,Q3405148,Simon Thomas,Q10691,Plaid Cymru,12911,Q428598,General election 2005,2
,,John Harrison,Q9626,Conservative Party (UK),4455,Q428598,General election 2005,3
,Q4737493,Alun Davies,Q832685,Welsh Labour Party,4337,Q428598,General election 2005,4
,,Dave Bradney,Q9669,Green Party of England and Wales,846,Q428598,General election 2005,5
,,Iain Sheldon,Q162246,Veritas (political party),268,Q428598,General election 2005,6
,Q266357,Mark Williams,Q9624,Liberal Democrats (UK),19139,Q215622,General election 2010,1
,,Penri James,Q10691,Plaid Cymru,10815,Q215622,General election 2010,2
,,Luke Evetts,Q9626,Conservative Party (UK),4421,Q215622,General election 2010,3
,,Richard Boudier,Q9630,Labour Party (UK),2210,Q215622,General election 2010,4
,,Elwyn Williams,Q10647,UK Independence Party,977,Q215622,General election 2010,5
,,Leila Kiersch,Q9669,Green Party of England and Wales,696,Q215622,General election 2010,6
,Q266357,Mark Williams,Q9624,Liberal Democrats (UK),13414,Q3586935,General election 2015,1
,Q6848314,Mike Parker,Q10691,Plaid Cymru,10347,Q3586935,General election 2015,2
,,Henrietta Hensher,Q9626,Conservative Party (UK),4123,Q3586935,General election 2015,3
Q63929045,,Gethin James,Q10647,UK Independence Party,3829,Q3586935,General election 2015,4
,,Huw Thomas,Q9630,Labour Party (UK),3615,Q3586935,General election 2015,5
,,Daniel Thompson,Q9669,Green Party of England and Wales,2088,Q3586935,General election 2015,6
,Q30172752,Ben Lake,Q10691,Plaid Cymru,11623,Q25052149,General election 2017,1
,Q266357,Mark Williams,Q9624,Liberal Democrats (UK),11519,Q25052149,General election 2017,2
Q76363214,,Dinah Mulholland,Q9630,Labour Party (UK),8017,Q25052149,General election 2017,3
,Q76450717,Ruth Davis,Q9626,Conservative Party (UK),7307,Q25052149,General election 2017,4
Q63929171,,Tom Harrison,Q10647,UK Independence Party,602,Q25052149,General election 2017,5
,,Grenville Ham,Q9669,Green Party of England and Wales,542,Q25052149,General election 2017,6
,,Sir Dudley the Crazed,Q1421227,Official Monster Raving Loony Party,157,Q25052149,General election 2017,7
,Q30172752,Ben Lake,Q10691,Plaid Cymru,15208,Q30173038,General election 2019,1
Q76364261,,Amanda Jenner,Q7981882,Welsh Conservative Party,8879,Q30173038,General election 2019,2
,Q266357,Mark Williams,Q7981939,Welsh Liberal Democrats,6975,Q30173038,General election 2019,3
Q76363214,,Dinah Mulholland,Q832685,Welsh Labour Party,6317,Q30173038,General election 2019,4
Q63929045,,Gethin James,Q61651140,Brexit Party,2063,Q30173038,General election 2019,5
Q75975091,,Chris Simpson,Q9669,Green Party of England and Wales,663,Q30173038,General election 2019,6
